date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:42:37	52567/52567	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Mar%202021%2014:42:36%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/default.html	(from )
21:42:38	153/153	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Mar%202021%2014:42:36%20GMT	https://web.archive.org/robots.txt		(from )
21:42:38	14615/14615	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225fea37eb-3917%22	http://archive.org/includes/analytics.js?v=cf34f82	C:/My%20Web%20Sites/Home%20Game/archive.org/includes/analytics2a5b.js	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:38	27869/27869	---MCZ	200	added ('OK')	application/javascript	etag:W/%22wzsdm-1612982138-27869-1133250299%22	https://web.archive.org/_static/js/playback.bundle.js?v=bQvHU8mx	C:/My%20Web%20Sites/Home%20Game/web.archive.org/_static/js/playback.bundle2a46.js	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:39	116497/116497	---MCZ	200	added ('OK')	application/javascript	etag:W/%22wzsdm-1612982138-116497-310182806%22	https://web.archive.org/_static/js/wombat.js?v=cRqOKCOw	C:/My%20Web%20Sites/Home%20Game/web.archive.org/_static/js/wombat1b09.js	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:39	9317/9317	---MCZ	200	added ('OK')	text/css	etag:W/%22wzsdm-1612982047-9317-1017513663%22	https://web.archive.org/_static/css/banner-styles.css?v=bsmaklHF	C:/My%20Web%20Sites/Home%20Game/web.archive.org/_static/css/banner-styles7a0e.css	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:39	5825/5825	---MCZ	200	added ('OK')	text/css	etag:W/%22wzsdm-1612982047-5825-715654559%22	https://web.archive.org/_static/css/iconochive.css?v=qtvMKcIJ	C:/My%20Web%20Sites/Home%20Game/web.archive.org/_static/css/iconochive8307.css	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:39	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:38%20GMT	https://web.archive.org/web/20070202023211im_/http://www.sealindo.com/sealonline.gif	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211im_/http_/www.sealindo.com/sealonline.gif	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:40	1061/1061	---MC-	200	added ('OK')	image/gif	date:Sun,%2007%20Mar%202021%2014:42:39%20GMT	https://web.archive.org/web/20070202174035im_/http://www.sealindo.com/sealonline.gif	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202174035im_/http_/www.sealindo.com/sealonline.gif	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:40	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:39%20GMT	https://web.archive.org/web/20070202023211cs_/http://www.sealindo.com/css/screen.css	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211cs_/http_/www.sealindo.com/css/screen.css	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
